"list","year","month","year_month","n_posts"
"bioc-devel",2023,"June","2023-June",58
"bioc-devel",2023,"July","2023-July",44
"bioc-devel",2023,"August","2023-August",45
"bioc-devel",2023,"September","2023-September",48
"bioc-devel",2023,"October","2023-October",111
"bioc-devel",2023,"November","2023-November",49
"bioc-devel",2023,"December","2023-December",35
"bioc-devel",2024,"January","2024-January",48
"bioc-devel",2024,"February","2024-February",59
"bioc-devel",2024,"March","2024-March",91
"bioc-devel",2024,"April","2024-April",116
"bioc-devel",2024,"May","2024-May",34
"bioc-devel",2024,"June","2024-June",32
"bioc-devel",2024,"July","2024-July",32
"bioc-devel",2024,"August","2024-August",52
"bioc-devel",2024,"September","2024-September",33
"bioc-devel",2024,"October","2024-October",87
"bioc-devel",2024,"November","2024-November",38
"bioc-devel",2024,"December","2024-December",50
"bioc-devel",2025,"January","2025-January",34
"bioc-devel",2025,"February","2025-February",30
"bioc-devel",2025,"March","2025-March",104
"bioc-devel",2025,"April","2025-April",37
"bioc-devel",2025,"May","2025-May",38
"bioc-devel",2025,"June","2025-June",40
"bioc-devel",2025,"July","2025-July",21
"bioc-devel",2025,"August","2025-August",20
"bioc-devel",2025,"September","2025-September",29
"bioc-devel",2025,"October","2025-October",86
"bioc-devel",2025,"November","2025-November",19
"bioc-devel",2025,"December","2025-December",11
"bioc-devel",2026,"January","2026-January",31
"bioc-devel",2026,"February","2026-February",31
"bioc-devel",2026,"March","2026-March",22
"bioc-devel",2026,"April","2026-April",62
"bioc-devel",2026,"May","2026-May",25
"bioc-devel",2026,"June","2026-June",6
"ess-debian",2024,"February","2024-February",2
"ess-help",2023,"June","2023-June",4
"ess-help",2023,"August","2023-August",9
"ess-help",2023,"September","2023-September",15
"ess-help",2023,"October","2023-October",11
"ess-help",2023,"November","2023-November",20
"ess-help",2023,"December","2023-December",16
"ess-help",2024,"January","2024-January",10
"ess-help",2024,"February","2024-February",12
"ess-help",2024,"March","2024-March",19
"ess-help",2024,"April","2024-April",7
"ess-help",2024,"May","2024-May",7
"ess-help",2024,"June","2024-June",2
"ess-help",2024,"July","2024-July",3
